roundId,investor
round_313,Bay Capital Investments and Others
round_314,SAR Group
round_315,Bessemer Venture Partners and Orios Venture Partners
round_315,JM Financials and MEMG
round_316,CBA Capital and others
round_317,Sequoia Capital
round_317,SAIF Partners and Kalaari capital
round_318,Baskar Subramanian
round_318,Saket Kumar
round_318,Gaurav Suri and Ankit Kesarwani
round_319,InfoEdge
round_320,Ranjan Pai
round_320,Apoorva Patni
round_320,Beenext Ventures
round_320,GrowX Ventures
round_321,HDFC Life
round_321,HDFC Asset Management
round_322,Sequoia Capital
round_323,Vertex Ventures
round_323,Accel Partners and Saama Capital
round_324,Nexus Venture Partners
round_325,Avendus Finance Pvt. Ltd
round_326,Aegon NV
round_327,State Street Global Advisors
round_328,Trifecta Capital
round_329,HR Fund
round_330,Actis
round_330,Altimeter Capital
round_331,Venkat Subramanian
round_331,"Sudhakar Pennam, and other tech investors from Silicon Valley"
round_332,Matrix Partners
round_332,Bhavish Aggarwal
round_332,Ankit Bhati
round_332,Binny Bansal
round_332,Kunal Shah and Manish Patel.
round_333,SoftBank
round_333,Tiger Global and Apoletto Managers.
round_334,Alteria Capital
round_335,1Crowd
round_335,Ankur Capital
round_336,Amit Burman
round_336,SIDBI Venture Capital
round_337,Pi Ventures
round_337,Axilor Ventures
round_338,Micromax Informatics Ltd
round_339,Jessica Wong
round_339,Hiro Mashita
round_339,Xue Manzi and Yiyun Zhang.
round_340,Insight Venture Partners
round_340,Accel Partners and Tiger Global Management.
round_341,SucSEED Venture Partners
round_342,Endiya Partners
round_343,Kumar Vembu
round_343,Axilor Ventures
round_344,Initia Holdings
round_344,Vipin Agarwal and others.
round_346,Accion Venture Lab
round_346,Unicorn India Ventures and ISME ACE.
round_347,Ratan Tata
round_348,Amit Singhal and Unitus Seed Fund
round_349,Google
round_349,Kae Capital
round_349,IIFL
round_349,Singularity Ventures
round_349,GrowX
round_349,Tracxn Labs
round_349,Venture Catalyst
round_349,Patni family office and Axis Capital.
round_350,Alibaba
round_350,Helion Venture Partners
round_350,Bessemer Venture Partners
round_350,Ascent Capital
round_351,Ant Financials
round_352,Omidyar Network
round_353,CDC Group Plc
round_354,Man Capital LLP
round_354,Girnar Software
round_354,Others
round_355,Bhavesh Manglani
round_355,Suraj Saharan
round_355,Darshan Upadhyay
round_355,Sanjay Notani & Others
round_356,Montane Ventures
round_357,Naspers
round_358,Sandeep Mathur
round_359,Meritech Capital Partners
round_360,Sistema Asia Fund
round_361,British and Indian Governments
round_362,Accel Partners
round_362,Sequoia Capital
round_363,Social Capital
round_364,Fullerton Financial Holdings Pte Ltd & Others
round_365,Bessemer Venture Partners
round_365,Stellaris Venture Partners
round_365,Axis Capital
round_365,Singapore
round_365,Jungle Venture Partners
round_366,Trifecta Capital
round_367,Ashok Kumar Gajera
round_368,Tribe Impact Capital LLP
round_369,Michael & Susan Dell Foundation
round_369,LGT Impact Ventures
round_370,Kalpavriksh
round_371,Axis Capital Partners
round_372,Dewang Neralla
round_372,Mahesh Kothurkar
round_372,Atul Agarwal
round_373,S7 Group
round_374,Michael Patrick Hickey
round_375,Network 18
round_376,Sequoia and Jerry Yang
round_377,Mohammed Khan
round_377,Sameer Narayan & Others
round_378,Hinduja Leyland Finance
round_378,IntelleGrow
round_379,Ankur Capital
round_380,Lightspeed & Yuri Milner
round_381,Wargburg Pincus
round_381,Sequoia
round_382,Blume Ventures
round_382,HealthQuad and Fireside Ventures
round_383,PNC
round_383,Citi Ventures
round_384,Auxano Deals
round_385,Kris Gopalakrishnan
round_385,Pratithi Investment Trust
round_385,MEMG Family Office
round_385,S Gopal
round_386,Dr Devi Shetty
round_387,Startup Buddy
round_387,Amit Manocha and others
round_388,Tencent Holdings Ltd
round_388,Times Internet
round_389,Y Combinator
round_389,Khosla Ventures
round_389,Vy Capital and others
round_390,Unitus Seed Fund
round_391,Recruit Holdings
round_391,Sequoia Capital India
round_391,Accel Partners
round_392,Eight Roads Ventures India
round_393,Claris Capital
round_393,Mumbai Angels Network
round_394,Rohan Agila
round_395,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.
round_397,RuNet & Other
round_398,Amazon-Patni JV
round_399,responsAbility
round_399,Elevar Equity and Accel Partners
round_400,Morgan Stanley Private Equity Asia
round_401,Pankaj Chopra
round_401,Ankush Gupta
round_402,Tiger Global
round_402,Y Combinator
round_403,Indian fintech fund
round_403,Rainmatter
round_404,Sunil Kant Munjal
round_404,Hero Electronix\\xe2\\x80\\x99s corporate financing arm
round_404,Electronic Development Fund
round_405,"Goldman Sachs, hedge fund & Others"
round_406,Polaris Fund
round_407,Xiaomi Singapore
round_407,Shunwei Capital
round_408,The Chennai Angels
round_409,Lionrock Capital
round_410,Incubate Fund India
round_410,Anuj Agrawal
round_411,DMI Finance
round_412,Dr. Ranjan Pai
round_413,Unilever Ventures
round_414,LeapFrog Investments
round_414,Aspada Investment
round_414,Quona Capital
round_415,Avendus Finance
round_416,IFMR Capital
round_417,Chennai Angels
round_417,Lead Angels
round_417,LetsVenture
round_418,Pravega Ventures
round_419,RNT Capital
round_420,Ventureast
round_420,Endiya Partners
round_420,Eight Roads Ventures
round_420,Touchstone Equities
round_420,BVR Mohan Reddy
round_421,Blume Ventures
round_422,Shivani Singh
round_422,Rahul Maroli
round_422,Mitesh Shah
round_422,Venture Catalysts
round_422,Alfa Capital
round_422,Green Shots Capital
round_422,Real Time Ventures.
round_423,Accel Partners
round_424,Axilor Ventures
round_424,Newfort Capital
round_426,HDFC Bank
round_426,Axis Bank
round_427,Ventureast
round_428,Scale Minds
round_429,Google
round_430,Hines
round_431,NB Ventures
round_433,Apis Partner
round_433,Eight Roads Ventures
round_433,Bamboo Capital Partners
round_434,Lightbox
round_435,Eduardo Saverin
round_436,Kalpvriksh
round_437,Somerset Indus Capital Ventures
round_438,IDG Ventures
round_439,Tiger Global
round_440,Singapore Angel Network
round_440,Mumbai Angel
round_441,Village Capital
round_442,Village Capital
round_443,Aamir Khan
round_444,HT Media
round_445,Hyderabad Angels
round_446,Accel Partners
round_447,Munesh Khanna
round_448,Canaan Partners
round_449,Rakesh Jhunjhunwala
round_450,Bessemer Venture Partners
round_451,Mohan Tanksale
round_451,Kiran Shetty
round_451,Darshak Shah
round_451,Mandar Mhatre
round_452,RB Investments
round_453,Matrix Partners
round_454,RoundGlass Partners LLC
round_455,Accel Partners
round_455,Sequoia Capital
round_455,RB Investments
round_456,Mumbai Angels Network
round_457,Mountain Pain Capital
round_457,Suncoast Investments
round_459,InsuResillience Investment Fund
round_460,Costanoa
round_460,Learn Capital
round_460,Jyoti Bansal
round_461,Unilever Ventures
round_462,Swati Gupta
round_462,Purnima Khandelwal
round_462,Maheshwar Peri
round_462,Sanjay Singh
round_463,Axilor Ventures
round_463,E-City VEntures Atul Goel
round_464,"""Kedaraa Capital"
round_464,"Ontario Teachers\\'"""
round_465,Omidyar Network
round_466,Ambarish Gupta
round_466,Aneesh Reddy
round_466,Bold Ventures
round_466,Vona Investments
round_467,Venture Catalysts
round_468,Eight Roads Ventures India
round_469,Gaurav Gupta
round_470,Jones Lang LaSalle
round_471,Manish Poddar
round_471,Arun Garg
round_471,Parmeshwar Sharma
round_472,CIO Angel Network
round_473,Jayant Humbarwadi
round_475,Kae Capital Management
round_475,Nazara Technologies
round_476,Venture Catalysts
round_477,IDG Ventures India
round_478,IDG Ventures India
round_479,Alok Mittal
round_479,Deepak Jain
round_479,Ritesh Malik
round_479,Jim Schimdktke
round_480,Infosys co-founder Kris Gopalakrishnan
round_481,Matrix Partners India
round_481,Khosla Ventures
round_482,Titan Co Ltd
round_482,Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm
round_483,Lumis Partners
round_484,Quona Capital Management
round_485,Pioneering Ventures
round_485,Syngenta AG
round_486,Axilor Ventures
round_486,Kumar Vembu
round_487,Info Edge
round_488,Matrix Partners
round_489,IDG Ventures
round_489,IDFC-Parampara Fund
round_490,Singtel
round_490,Innov8
round_490,Harmony Partners
round_491,Wipro Consumer Care
round_492,Accel Partners
round_493,GAIL India Ltd
round_494,Vertex Ventures
round_496,Rugmini Menon
round_497,Omidyar Network
round_498,Girish Mathrubootham
round_498,Apurva Chamaria
round_498,Rohit Chanana
round_499,Nishit Sharma
round_499,Alok Srivastava
round_501,SSCBS Innovation
round_501,Incubation Foundation (SIIF)
round_502,Z Nation Lab
round_503,Skycatcher Fund
round_503,Aravind Sanka
round_504,Notion Capital
round_504,IDG Ventures
round_505,1Crowd
round_506,Vida Ventures
round_506,Dr. Aniruddha Malpani
round_507,Sabre Partners
round_507,MEMG CDC
round_508,Paytm
round_509,Global Institutional Investors
round_510,Axilor Ventures
round_511,Sandeep Aggarwal
round_512,Uniliver Ventures
round_513,Javelin StartupO Victory Fund
round_515,Amit Patni
round_516,Sixth Sense Ventures
round_517,Gaja Capital
round_518,IFMR Capital
round_519,NB Ventures
round_519,MediAssist
round_520,Matrix PArtners
round_520,Accel
round_521,Startup Buddy
round_521,Apurva Chamaria
round_521,Sachin Arora
round_521,Bharat Gupta
round_521,Amit Manocha
round_522,Venture Catalysts
round_523,Tencent
round_523,Softbank Group
round_524,Digital Garage
round_525,Sprout Angels
round_526,Flipkart
round_527,Blume Ventures
round_527,IDG Ventures & Indian Angel Network
round_528,Globevestor
round_529,Sequoia India
round_529,Helion Venture Partners
round_529,Beenext
round_530,Carpediem Capital
round_531,Epsilon Venture Partners
round_531,Tara India Fund IV and others
round_532,Das Capital
round_532,Axan Partners
round_532,Das Capital and IT Farm
