investor,startup,roundId,investmentType,amountUSD,date,year
Anshuman Das,Increff,round_697,Seed,2000000.0,2017-07-17,2017
Rishi Das,Increff,round_697,Seed,2000000.0,2017-07-17,2017
IDG Ventures India Advisors,Vayana,round_698,Private Equity,4000000.0,2017-07-17,2017
Jungle Ventures,Vayana,round_698,Private Equity,4000000.0,2017-07-17,2017
One97 Communication Ltd,MObiquest,round_699,Private Equity,,2017-07-18,2017
Uber Technologies Inc,Ambee,round_700,Seed,,2017-07-18,2017
Amaya Capital LLP,Ambee,round_700,Seed,,2017-07-18,2017
Xelpmoc,Ideal Insurance,round_701,Seed,,2017-07-18,2017
Kae Capital,Hypernova Interactive,round_702,Seed,,2017-07-18,2017
ain Capital Ventures,Rentomojo,round_703,Private Equity,10000000.0,2017-07-19,2017
Renaud Laplanche,Rentomojo,round_703,Private Equity,10000000.0,2017-07-19,2017
Francesco Cara,AirCTO,round_704,Seed,,2017-07-19,2017
ABI-Showatech (India) Ltd,Playablo,round_705,Seed,600000.0,2017-07-19,2017
Kae Capital,Trupay,round_706,Seed,700000.0,2017-07-20,2017
M&S Partners,Trupay,round_706,Seed,700000.0,2017-07-20,2017
Subramani Somasundaram,Brick2Wall,round_707,Seed,200000.0,2017-07-21,2017
Sundeep Sahni,Brick2Wall,round_707,Seed,200000.0,2017-07-21,2017
Mayank Mittal & Others,Brick2Wall,round_707,Seed,200000.0,2017-07-21,2017
Harmeet Bajaj,FableStreet,round_708,Seed,,2017-07-21,2017
Pameela P,FableStreet,round_708,Seed,,2017-07-21,2017
Fusiontech Ventures & Others,FableStreet,round_708,Seed,,2017-07-21,2017
Sunil Kalra,Monsoon Fintech,round_709,Seed,,2017-07-21,2017
Aditya Singh,Monsoon Fintech,round_709,Seed,,2017-07-21,2017
Rishi Srivastava,Monsoon Fintech,round_709,Seed,,2017-07-21,2017
Rajan Anandan,Monsoon Fintech,round_709,Seed,,2017-07-21,2017
Blume Ventures,MonkeyBox,round_710,Seed,,2017-07-21,2017
NB Ventures,MonkeyBox,round_710,Seed,,2017-07-21,2017
Nspira,MonkeyBox,round_710,Seed,,2017-07-21,2017
Stellaris Venture Partners,Noticeboard,round_711,Private Equity,1200000.0,2017-07-25,2017
Tencent Holdings,Byju\\xe2\\x80\\x99s,round_712,Private Equity,35000000.0,2017-07-25,2017
Yuvraj Singh,Creator\\xe2\\x80\\x99s Gurukul,round_713,Seed,,2017-07-26,2017
Goldman Sachs,Fab Hotels,round_714,Private Equity,25000000.0,2017-07-26,2017
Indian Angel Network,ThinkerBell,round_715,Seed,200000.0,2017-07-26,2017
Anand Mahindra,ThinkerBell,round_715,Seed,200000.0,2017-07-26,2017
HBM Healthcare Investments,1mg,round_716,Private Equity,15000000.0,2017-07-27,2017
Maverick Capital Ventures,1mg,round_716,Private Equity,15000000.0,2017-07-27,2017
Sequoia India,1mg,round_716,Private Equity,15000000.0,2017-07-27,2017
Omidyar Network and Kae Capital,1mg,round_716,Private Equity,15000000.0,2017-07-27,2017
Amen Dhyllon,Jhakaas,round_717,Seed,,2017-07-28,2017
Info Edge (India) Ltd,BigStylist,round_718,Private Equity,1250000.0,2017-07-28,2017
RoundGlass Partners,Gympik.com,round_719,Seed,,2017-07-28,2017
Grace Grace Techno Ventures LLP,Tripeur,round_720,Seed,,2017-06-01,2017
Rajul Garg & Other undisclosed investors,Tripeur,round_720,Seed,,2017-06-01,2017
TVS Motor Company,RentOnGo,round_721,Seed,234000.0,2017-06-02,2017
Emerging India,Goomo,round_722,Private Equity,50000000.0,2017-06-05,2017
lockchain ecosystem Global Advisors,MaxMyWealth,round_723,Private Equity,,2017-06-05,2017
Horseferry,MaxMyWealth,round_723,Private Equity,,2017-06-05,2017
Blume Ventures,Spinny,round_724,Private Equity,1000000.0,2017-06-06,2017
Indian Angel Network,Spinny,round_724,Private Equity,1000000.0,2017-06-06,2017
Kunal Shah,Spinny,round_724,Private Equity,1000000.0,2017-06-06,2017
Sandeep Tandon,Spinny,round_724,Private Equity,1000000.0,2017-06-06,2017
Arun Patodia,Healthbuds,round_725,Seed,,2017-06-06,2017
Bharat Kedia,Healthbuds,round_725,Seed,,2017-06-06,2017
500 Startups,Ftcash,round_726,Private Equity,,2017-06-06,2017
IvyCap Ventures,Ftcash,round_726,Private Equity,,2017-06-06,2017
Blume Ventures,BHIVE Workspace,round_727,Private Equity,1200000.0,2017-06-06,2017
Harsh Mahajan,wayForward,round_728,Seed,1000000.0,2017-06-06,2017
Farhan Naqvi,wayForward,round_728,Seed,1000000.0,2017-06-06,2017
Sreepathy Viswanathan,wayForward,round_728,Seed,1000000.0,2017-06-06,2017
Sundaram Finance Holdings,GyanDhan,round_729,Private Equity,,2017-06-06,2017
SBI (Stand Up India Scheme),Hungry Foal,round_730,Private Equity,,2017-06-06,2017
WaterBridge Ventures,ZipLoan,round_731,Seed,650000.0,2017-06-07,2017
SQue Capital,GrowFitter,round_732,Seed,600000.0,2017-06-07,2017
Bodhtree Consulting Limited,Stratfit,round_733,Seed,232000.0,2017-06-08,2017
Norwest Venture Partners,Multiplier Solutions,round_734,Private Equity,1500000.0,2017-06-08,2017
Norwest Venture Partners,ABI Health,round_735,Private Equity,1500000.0,2017-06-08,2017
Mohan Alexander,Stockal,round_736,Seed,350000.0,2017-06-08,2017
R. Natarajan,Stockal,round_736,Seed,350000.0,2017-06-08,2017
Vikrant Varshney,Stockal,round_736,Seed,350000.0,2017-06-08,2017
Amit Sinha,Stockal,round_736,Seed,350000.0,2017-06-08,2017
Pawan Borle,Guidoo,round_737,Seed,300000.0,2017-06-09,2017
Nirmal Singh,Guidoo,round_737,Seed,300000.0,2017-06-09,2017
Manish Prasad,Guidoo,round_737,Seed,300000.0,2017-06-09,2017
Vineet Varma,Guidoo,round_737,Seed,300000.0,2017-06-09,2017
Nick Haulkoury,Guidoo,round_737,Seed,300000.0,2017-06-09,2017
Abhai S. Rao,Guidoo,round_737,Seed,300000.0,2017-06-09,2017
Dr Ramesh Ayyala,eSahai.in,round_738,Seed,250000.0,2017-06-09,2017
Satya Muthyala,eSahai.in,round_738,Seed,250000.0,2017-06-09,2017
Cao Yibin,Loanmeet,round_739,Seed,,2017-06-12,2017
Huang Wei,Loanmeet,round_739,Seed,,2017-06-12,2017
Madhusudan E,Loanmeet,round_739,Seed,,2017-06-12,2017
Yes Bank,LendingKart,round_740,Debt,7800000.0,2017-06-12,2017
Unicorn India Ventures,Boxx.ai,round_741,Private Equity,500000.0,2017-06-12,2017
Venky Krishnakumar,Boxx.ai,round_741,Private Equity,500000.0,2017-06-12,2017
Suresh Shankar,Boxx.ai,round_741,Private Equity,500000.0,2017-06-12,2017
Vivek Bhargava,Boxx.ai,round_741,Private Equity,500000.0,2017-06-12,2017
Venture Catalysts,PeeSafe.in,round_742,Private Equity,1000000.0,2017-06-12,2017
Alfa Capital,PeeSafe.in,round_742,Private Equity,1000000.0,2017-06-12,2017
Green Shots Capital,PeeSafe.in,round_742,Private Equity,1000000.0,2017-06-12,2017
Real Time Ventures,PeeSafe.in,round_742,Private Equity,1000000.0,2017-06-12,2017
Artha India Ventures,Vista Rooms,round_743,Seed,776000.0,2017-06-12,2017
Singularity Holdings,Vista Rooms,round_743,Seed,776000.0,2017-06-12,2017
Rajan Anandan,Vista Rooms,round_743,Seed,776000.0,2017-06-12,2017
Girish Mathrubootham,Vista Rooms,round_743,Seed,776000.0,2017-06-12,2017
Transamerica,CoverFox,round_744,Private Equity,15000000.0,2017-06-12,2017
Nexus Venture Partners,HyperTrack,round_745,Private Equity,,2017-06-13,2017
Founders Fund,HyperTrack,round_745,Private Equity,,2017-06-13,2017
Nexus Venture Partners,Goodera,round_746,Private Equity,5500000.0,2017-06-13,2017
Omidyar Network,Goodera,round_746,Private Equity,5500000.0,2017-06-13,2017
Fairfax Holdings,Digit,round_747,Private Equity,,2017-06-13,2017
Tekne Capital Management LLC,Ola,round_748,Private Equity,50000000.0,2017-06-14,2017
RB Investments,Vanitycask,round_749,Seed,,2017-06-14,2017
Sequoia India,MoneyTap,round_751,Private Equity,12300000.0,2017-06-15,2017
NEA,MoneyTap,round_751,Private Equity,12300000.0,2017-06-15,2017
Prime Venture Partners,MoneyTap,round_751,Private Equity,12300000.0,2017-06-15,2017
Nexus Venture Partners,Goodbox,round_752,Private Equity,1000000.0,2017-06-16,2017
Mekin Maheshwari,Goodbox,round_752,Private Equity,1000000.0,2017-06-16,2017
Mohammed Khan,Fincash,round_753,Seed,100000.0,2017-06-16,2017
Sameer Narayan & Others,Fincash,round_753,Seed,100000.0,2017-06-16,2017
Alphard Maritime Group,PortDesk,round_754,Seed,2000000.0,2017-06-16,2017
Cross Border Angels & Experts,EdgeFx,round_755,Seed,,2017-06-16,2017
Rajasthan Angel Innovators Network,EdgeFx,round_755,Seed,,2017-06-16,2017
The Chennai Angels,EdgeFx,round_755,Seed,,2017-06-16,2017
YouWeCan Ventures,EazyDiner,round_756,Seed,,2017-06-16,2017
BLIP Initiatives,HealthIntel,round_757,Seed,,2017-06-16,2017
Eight Roads Ventures,Unbxd,round_758,Private Equity,12500000.0,2017-06-19,2017
Lightspeed India Partners,DarwinBox,round_759,Private Equity,4000000.0,2017-06-19,2017
Endiya Partners,DarwinBox,round_759,Private Equity,4000000.0,2017-06-19,2017
3one4 Capital Advisors LLP,DarwinBox,round_759,Private Equity,4000000.0,2017-06-19,2017
Startupxseed Ventures LLP,DarwinBox,round_759,Private Equity,4000000.0,2017-06-19,2017
91maker.com,ForeverShop,round_760,Seed,300000.0,2017-06-20,2017
Paytm,Insider.in,round_761,Private Equity,5200000.0,2017-06-20,2017
IIFL Seed Ventures,Fynd,round_762,Private Equity,2400000.0,2017-06-21,2017
Kae Capital,Fynd,round_762,Private Equity,2400000.0,2017-06-21,2017
FJ Labs,Fynd,round_762,Private Equity,2400000.0,2017-06-21,2017
Singularity Ventures,Fynd,round_762,Private Equity,2400000.0,2017-06-21,2017
GrowX,Fynd,round_762,Private Equity,2400000.0,2017-06-21,2017
Tracxn Labs,Fynd,round_762,Private Equity,2400000.0,2017-06-21,2017
Axis Capital,Fynd,round_762,Private Equity,2400000.0,2017-06-21,2017
Manipal Education and Medical Group (MEMG),Grow Fit,round_763,Private Equity,4500000.0,2017-06-21,2017
SAR Group,Grow Fit,round_763,Private Equity,4500000.0,2017-06-21,2017
The Grover Trust,Grow Fit,round_763,Private Equity,4500000.0,2017-06-21,2017
iBhubs,Fabulyst,round_764,Seed,215000.0,2017-06-21,2017
UC-RNT Fund,mSwipe,round_765,Private Equity,31000000.0,2017-06-21,2017
"Matrix Partners, alcon Edge Capital",mSwipe,round_765,Private Equity,31000000.0,2017-06-21,2017
DSG Consumer Partners,mSwipe,round_765,Private Equity,31000000.0,2017-06-21,2017
Sequoia Capital,OneAssist,round_766,Private Equity,,2017-06-21,2017
General Catalyst,Julia Computing,round_767,Private Equity,4600000.0,2017-06-22,2017
Founder Collective,Julia Computing,round_767,Private Equity,4600000.0,2017-06-22,2017
Endiya Partners,Kissht,round_768,Private Equity,2000000.0,2017-06-22,2017
Ventureast,Kissht,round_768,Private Equity,2000000.0,2017-06-22,2017
Mekin Maheshwari,Explore Life traveling,round_769,Seed,500000.0,2017-06-22,2017
Bharat Vijay,Explore Life traveling,round_769,Seed,500000.0,2017-06-22,2017
Krish Seshadri,Explore Life traveling,round_769,Seed,500000.0,2017-06-22,2017
Amar Arsikere,Explore Life traveling,round_769,Seed,500000.0,2017-06-22,2017
Kae Capital,Loantap,round_770,Private Equity,4000000.0,2017-06-23,2017
India Quotient,Loantap,round_770,Private Equity,4000000.0,2017-06-23,2017
"IFMR, and MAS Financial Services Ltd",Loantap,round_770,Private Equity,4000000.0,2017-06-23,2017
Mohit Srivastav,HUG Innovations,round_772,Private Equity,5000000.0,2017-06-26,2017
Kishore Ganji,HUG Innovations,round_772,Private Equity,5000000.0,2017-06-26,2017
Venkat Vallabhaneni,HUG Innovations,round_772,Private Equity,5000000.0,2017-06-26,2017
Rajeev Menon,HUG Innovations,round_772,Private Equity,5000000.0,2017-06-26,2017
Naspers,Flipkart,round_773,Private Equity,71000000.0,2017-06-26,2017
Seedfund,V Resorts,round_774,Private Equity,4000000.0,2017-06-26,2017
RB International,V Resorts,round_774,Private Equity,4000000.0,2017-06-26,2017
Snow Leopard Ventures,Stashfin,round_775,Private Equity,5000000.0,2017-06-27,2017
Alto Partners,Stashfin,round_775,Private Equity,5000000.0,2017-06-27,2017
Gujarat Venture Finance Ltd,Formcept,round_776,Private Equity,,2017-06-27,2017
The Chennai Angels,Spares Hub,round_777,Seed,311000.0,2017-06-27,2017
Anthill Scale Ventures,Spares Hub,round_777,Seed,311000.0,2017-06-27,2017
Esvee Technologies Inc,Spares Hub,round_777,Seed,311000.0,2017-06-27,2017
Inc95 Consulting,Spares Hub,round_777,Seed,311000.0,2017-06-27,2017
Aparup Sengupta,FiTraQ,round_778,Seed,,2017-06-28,2017
Devendra Reddy,FiTraQ,round_778,Seed,,2017-06-28,2017
Kalaari Capital,Rubique,round_779,Private Equity,3000000.0,2017-06-28,2017
Udayan Goyal,Rubique,round_779,Private Equity,3000000.0,2017-06-28,2017
SAP.iO,Niki.ai,round_780,Private Equity,2000000.0,2017-06-28,2017
Unilazer Ventures,Niki.ai,round_780,Private Equity,2000000.0,2017-06-28,2017
Abhinav Bindra,Fitpass,round_781,Private Equity,1000000.0,2017-06-29,2017
Gaurav Marya,Fitpass,round_781,Private Equity,1000000.0,2017-06-29,2017
Zeta,ZingHR,round_782,Private Equity,,2017-06-29,2017
Vy Capital,UrbanClap,round_784,Private Equity,21000000.0,2017-06-30,2017
SAIF Partners,UrbanClap,round_784,Private Equity,21000000.0,2017-06-30,2017
Accel Partner,UrbanClap,round_784,Private Equity,21000000.0,2017-06-30,2017
Bessemer Venture Partners,UrbanClap,round_784,Private Equity,21000000.0,2017-06-30,2017
Clairvest Group,Ace2three,round_785,Private Equity,73700000.0,2017-05-01,2017
International Finance Corporation,Power2SME,round_786,Private Equity,10000000.0,2017-05-01,2017
Hyderabad Angels,Innovapptive,round_787,Seed,1500000.0,2017-05-02,2017
Accel Partners,4tigo,round_788,Private Equity,10000000.0,2017-05-02,2017
Nandan Nilekani,4tigo,round_788,Private Equity,10000000.0,2017-05-02,2017
Dutch government fund,SMECorner,round_789,Private Equity,,2017-05-02,2017
Falcon Edge Capital,Ola,round_791,Private Equity,104500000.0,2017-05-03,2017
\\xc2\\xa0 Capital Advisers,Ola,round_791,Private Equity,104500000.0,2017-05-03,2017
Asuka Holdings,Healthians,round_793,Private Equity,,2017-05-04,2017
YouWeCan Ventures,Healthians,round_793,Private Equity,,2017-05-04,2017
Beenext,Healthians,round_793,Private Equity,,2017-05-04,2017
Beenos,Healthians,round_793,Private Equity,,2017-05-04,2017
M&S Partners,Healthians,round_793,Private Equity,,2017-05-04,2017
Nimit Panigrahi,HealthMir,round_794,Seed,,2017-05-05,2017
Hinduja family,Uactive,round_795,Seed,,2017-05-05,2017
50K Ventures,i-lend,round_796,Seed,,2017-05-05,2017
Accel Partners,Good Methods Global,round_797,Private Equity,,2017-05-05,2017
Rainmatter,Balance App,round_798,Seed,233000.0,2017-05-05,2017
Rainbow Digital Services Pvt. Ltd,YepMe,round_799,Private Equity,700000.0,2017-05-08,2017
ILearnFinance Academy Pvt. Ltd.,YepMe,round_799,Private Equity,700000.0,2017-05-08,2017
Indian Angels Network,Nightstay,round_800,Seed,,2017-05-08,2017
LetsVenture,Nightstay,round_800,Seed,,2017-05-08,2017
Deepak Nathani,Devourin,round_801,Seed,,2017-05-08,2017
Ajay Relan,MyGreens,round_802,Seed,1000000.0,2017-05-08,2017
LetsVenture,MyGreens,round_802,Seed,1000000.0,2017-05-08,2017
Vertex Ventures,Ace Turtle,round_803,Private Equity,5000000.0,2017-05-08,2017
C31 Ventures,Ace Turtle,round_803,Private Equity,5000000.0,2017-05-08,2017
Trifecta Capital Advisors LLP,CureFit,round_804,Private Equity,3200000.0,2017-05-08,2017
Prathithi Investment Trust,CureFit,round_804,Private Equity,3200000.0,2017-05-08,2017
RNT Capital,CureFit,round_804,Private Equity,3200000.0,2017-05-08,2017
Gokul Rajaram,CureFit,round_804,Private Equity,3200000.0,2017-05-08,2017
Aditya Agarwal,CureFit,round_804,Private Equity,3200000.0,2017-05-08,2017
Ruchi Sanghvi & others,CureFit,round_804,Private Equity,3200000.0,2017-05-08,2017
Satoshi Studios,Curie Labs,round_805,Seed,50000.0,2017-05-09,2017
Anand Chandrasekaran,Uncanny Vision,round_806,Seed,,2017-05-09,2017
Luxasia Group,Anchanto,round_807,Private Equity,,2017-05-09,2017
GVFL,Sequretek,round_808,Private Equity,,2017-05-09,2017
Unicorn India Ventures,Sequretek,round_808,Private Equity,,2017-05-09,2017
Vellayan Subbiah,Lucideus,round_809,Seed,,2017-05-10,2017
Jonathan Boutelle,Lucideus,round_809,Seed,,2017-05-10,2017
Rajan Anandan,Lucideus,round_809,Seed,,2017-05-10,2017
\\xc2\\xa0 Rahul Chawla,Lucideus,round_809,Seed,,2017-05-10,2017
Salil Donde,Lucideus,round_809,Seed,,2017-05-10,2017
Amit Ranjan,Lucideus,round_809,Seed,,2017-05-10,2017
Govind Rajan & Others,Lucideus,round_809,Seed,,2017-05-10,2017
Times Internet,Vidooly,round_810,Private Equity,1400000.0,2017-05-10,2017
GVFL,Vidooly,round_810,Private Equity,1400000.0,2017-05-10,2017
InnoVen Capital,Shopclues,round_811,Private Equity,7700000.0,2017-05-10,2017
1Crowd,Fourth Ambit,round_812,Seed,600000.0,2017-05-10,2017
Varsha Rao,Chymera VR,round_813,Seed,,2017-05-10,2017
Surojit Chatterjee,Chymera VR,round_813,Seed,,2017-05-10,2017
Nirav Choksi & Others,Chymera VR,round_813,Seed,,2017-05-10,2017
DG Ventures India,Early Salary,round_814,Private Equity,4000000.0,2017-05-11,2017
Dewan Housing Finance Corp,Early Salary,round_814,Private Equity,4000000.0,2017-05-11,2017
Chirag Nikunj Sheth & Others,Book My Diamond,round_815,Seed,,2017-05-11,2017
Aakrit Vaish,ION Energy,round_816,Seed,,2017-05-11,2017
Swapan Rajdev,ION Energy,round_816,Seed,,2017-05-11,2017
Sushill Jiwarajka,ION Energy,round_816,Seed,,2017-05-11,2017
Impanix Capital,Legal Raasta,round_817,Private Equity,5000000.0,2017-05-12,2017
GEMs,Log 9 Materials,round_818,Seed,,2017-05-12,2017
Infibeam,Remit Guru,round_819,Private Equity,466000.0,2017-05-12,2017
CCavenue,Remit Guru,round_819,Private Equity,466000.0,2017-05-12,2017
IdeaSpring Capital,Zapty,round_821,Seed,500000.0,2017-05-15,2017
Kstart Capital,Vernacular.ai,round_822,Seed,,2017-05-15,2017
SAP,Niki.ai,round_823,Private Equity,,2017-05-16,2017
Innovations East,Telr,round_824,Private Equity,3000000.0,2017-05-16,2017
Rocketship,Fynd,round_825,Private Equity,500000.0,2017-05-16,2017
Jungle Ventures,Paysense,round_827,Private Equity,5300000.0,2017-05-17,2017
Ayesha Takia Azmi,The Good Life,round_828,Seed,1000000.0,2017-05-18,2017
Abu Farhan Azmi,The Good Life,round_828,Seed,1000000.0,2017-05-18,2017
Dr. Ritesh Malik,PumpKart,round_829,Seed,,2017-05-18,2017
SoftBank Group,Paytm,round_830,Private Equity,1400000000.0,2017-05-18,2017
Dheeraj Pandey,EzCred,round_831,Seed,1000000.0,2017-05-19,2017
Rajesh Yohannan,EzCred,round_831,Seed,1000000.0,2017-05-19,2017
Akash Garg,EzCred,round_831,Seed,1000000.0,2017-05-19,2017
Ankur Capital,HealthSutra,round_832,Seed,,2017-05-19,2017
Hyderabad Angels,HealthSutra,round_832,Seed,,2017-05-19,2017
Gokaldas Exports Ltd,YepMe,round_833,Private Equity,,2017-05-20,2017
Fosun International,Delhivery,round_834,Private Equity,30000000.0,2017-05-22,2017
JLL,ZipGrid,round_835,Seed,500000.0,2017-05-22,2017
1Crowd,ZipGrid,round_835,Seed,500000.0,2017-05-22,2017
Eagle10 Ventures,TravelSpice,round_836,Seed,,2017-05-23,2017
Lightspeed Venture Partners,Magicpin,round_837,Private Equity,6600000.0,2017-05-23,2017
Vy Capital,Magicpin,round_837,Private Equity,6600000.0,2017-05-23,2017
Ratan Tata,The Print,round_838,Seed,,2017-05-23,2017
Nandan Nilekani,The Print,round_838,Seed,,2017-05-23,2017
Uday Kotak,The Print,round_838,Seed,,2017-05-23,2017
Vijay Shekhar Sharma,The Print,round_838,Seed,,2017-05-23,2017
Kiran Mazumdar-Shaw,The Print,round_838,Seed,,2017-05-23,2017
Rajiv C Mody,The Print,round_838,Seed,,2017-05-23,2017
Trifecta Capital,Box8,round_839,Private Equity,1000000.0,2017-05-23,2017
Blue Orchard,Aye Finance,round_841,Private Equity,8000000.0,2017-05-25,2017
Lahiri Music\\xe2\\x80\\x99s family office,WhatsLoan,round_842,Seed,,2017-05-26,2017
PV Sahad,Nivesh,round_844,Seed,,2017-05-29,2017
Sandeep Shroff,Nivesh,round_844,Seed,,2017-05-29,2017
Rahul Gupta,Nivesh,round_844,Seed,,2017-05-29,2017
Carpediem Capital,Collateral Medical,round_846,Private Equity,3500000.0,2017-05-29,2017
Matrix Partners,Loadshare,round_847,Seed,,2017-05-30,2017
Soma Capital,Supr Daily,round_849,Private Equity,1500000.0,2017-05-30,2017
Great Oaks Ventures,Supr Daily,round_849,Private Equity,1500000.0,2017-05-30,2017
122 West Ventures,Supr Daily,round_849,Private Equity,1500000.0,2017-05-30,2017
Nasper,Swiggy,round_850,Private Equity,80000000.0,2017-05-30,2017
Accel India,Swiggy,round_850,Private Equity,80000000.0,2017-05-30,2017
SAIF Partners,Swiggy,round_850,Private Equity,80000000.0,2017-05-30,2017
Bessemer Venture Partners,Swiggy,round_850,Private Equity,80000000.0,2017-05-30,2017
Harmony Partners,Swiggy,round_850,Private Equity,80000000.0,2017-05-30,2017
Norwest Venture Partners,Swiggy,round_850,Private Equity,80000000.0,2017-05-30,2017
Rohto Pharmaceutical,SastaSundar,round_851,Private Equity,5000000.0,2017-05-31,2017
Lightspeed India Partners,Magicpin,round_852,Private Equity,7000000.0,2017-05-31,2017
Waterbridge Ventures,Magicpin,round_852,Private Equity,7000000.0,2017-05-31,2017
Mathew Cyriac,Cashe,round_853,Private Equity,3800000.0,2017-04-01,2017
Florintree Advisors,Cashe,round_853,Private Equity,3800000.0,2017-04-01,2017
Bertelsmann India,Eruditus,round_854,Private Equity,8200000.0,2017-04-03,2017
Matrix Partners India,TestBook,round_855,Private Equity,,2017-04-03,2017
Quadria Capital Advisors,Healthcare at Home,round_856,Private Equity,40000000.0,2017-04-03,2017
Rohitash Gupta,Tyre Express,round_857,Seed,,2017-04-03,2017
Unicorn India Ventures & Others,SmartCoin,round_858,Private Equity,,2017-04-03,2017
Aspada Investments,WayCool,round_859,Private Equity,2700000.0,2017-04-04,2017
Bessemer Venture Partners,Perfios,round_860,Private Equity,6100000.0,2017-04-04,2017
Stellaris Venture Partners,Whatfix,round_861,Private Equity,3690000.0,2017-04-04,2017
Helion Venture Partners,Whatfix,round_861,Private Equity,3690000.0,2017-04-04,2017
Powerhouse Ventures,Whatfix,round_861,Private Equity,3690000.0,2017-04-04,2017
Gokul Rajaram,Whatfix,round_861,Private Equity,3690000.0,2017-04-04,2017
Girish Mathrubootham,Whatfix,round_861,Private Equity,3690000.0,2017-04-04,2017
Aneesh Reddy,Whatfix,round_861,Private Equity,3690000.0,2017-04-04,2017
Vispi Daver,Whatfix,round_861,Private Equity,3690000.0,2017-04-04,2017
Kalaari Capital,ElastiRun,round_862,Private Equity,7000000.0,2017-04-04,2017
Norwest Venture Partners,ElastiRun,round_862,Private Equity,7000000.0,2017-04-04,2017
Keyur Joshi,Trukky,round_863,Seed,500000.0,2017-04-04,2017
Pavan Bakeri,Trukky,round_863,Seed,500000.0,2017-04-04,2017
Koen Bouwers,Konsult App,round_864,Seed,500000.0,2017-04-04,2017
Lomesh Agarwal,Konsult App,round_864,Seed,500000.0,2017-04-04,2017
Jeroen Mensen,Konsult App,round_864,Seed,500000.0,2017-04-04,2017
Pablo van den Bosch & Others,Konsult App,round_864,Seed,500000.0,2017-04-04,2017
Deepak Kulkarni,Credit Sudhaar,round_865,Seed,,2017-04-05,2017
Sandeep Pangal,Credit Sudhaar,round_865,Seed,,2017-04-05,2017
Zephyr Peacock India,Fingerlix,round_866,Private Equity,3000000.0,2017-04-05,2017
FreakOut Group,DataWeave,round_867,Private Equity,,2017-04-05,2017
Blume Ventures,DataWeave,round_867,Private Equity,,2017-04-05,2017
Herb Madan,DataWeave,round_867,Private Equity,,2017-04-05,2017
WaterBridge Ventures,DataWeave,round_867,Private Equity,,2017-04-05,2017
Mahindra Partners,Medwell Ventures,round_868,Private Equity,21000000.0,2017-04-06,2017
Eight Roads Ventures,Medwell Ventures,round_868,Private Equity,21000000.0,2017-04-06,2017
F-Prime Capital Partners,Medwell Ventures,round_868,Private Equity,21000000.0,2017-04-06,2017
Accel Partners,Mech Mocha,round_869,Private Equity,5000000.0,2017-04-06,2017
Shunwei Capital,Mech Mocha,round_869,Private Equity,5000000.0,2017-04-06,2017
YouWeCan Ventures,Startup Buddy,round_870,Seed,,2017-04-07,2017
Paytm,QorQI,round_871,Seed,,2017-04-07,2017
Ishwar Singh,Twenty Two Motors,round_872,Seed,,2017-04-07,2017
Farhaan Shabbir,Twenty Two Motors,round_872,Seed,,2017-04-07,2017
Bessemer Venture Partners,PharmEasy,round_873,Private Equity,18000000.0,2017-04-07,2017
Orios Venture Partners,PharmEasy,round_873,Private Equity,18000000.0,2017-04-07,2017
Trifecta Capital,PharmEasy,round_873,Private Equity,18000000.0,2017-04-07,2017
Labruyere Eberl\\xc3\\xa9,WonderChef,round_874,Private Equity,,2017-04-08,2017
Lightspeed India Partners,FastFox,round_875,Private Equity,4600000.0,2017-04-08,2017
Blume Ventures,FastFox,round_875,Private Equity,4600000.0,2017-04-08,2017
CyberAgent Ventures,FastFox,round_875,Private Equity,4600000.0,2017-04-08,2017
GrowX Ventures,FastFox,round_875,Private Equity,4600000.0,2017-04-08,2017
IMJ Investment Partners,FastFox,round_875,Private Equity,4600000.0,2017-04-08,2017
Rajan Anandan,Omnify,round_876,Seed,150000.0,2017-04-10,2017
L.D Sharma,Omnify,round_876,Seed,150000.0,2017-04-10,2017
Saurabh Arora,Omnify,round_876,Seed,150000.0,2017-04-10,2017
Mahindra and Mahindra Financial Services,Capital Float,round_877,Private Equity,2300000.0,2017-04-10,2017
Accel Partners,Ninjacart,round_878,Private Equity,5500000.0,2017-04-11,2017
Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust,Ninjacart,round_878,Private Equity,5500000.0,2017-04-11,2017
Mistletoe,Ninjacart,round_878,Private Equity,5500000.0,2017-04-11,2017
Qualcomm Ventures,Ninjacart,round_878,Private Equity,5500000.0,2017-04-11,2017
M&S Partners,Ninjacart,round_878,Private Equity,5500000.0,2017-04-11,2017
Philippe Bouchet,MergerWare,round_879,Seed,100000.0,2017-04-11,2017
Sushil Kumar,Sports Flashes,round_880,Seed,,2017-04-11,2017
Sandeep Singh,Sports Flashes,round_880,Seed,,2017-04-11,2017
Ivycap Ventures Advisors,Clovia,round_881,Private Equity,4000000.0,2017-04-12,2017
Singularity Ventures and Ravi Dhariwal,Clovia,round_881,Private Equity,4000000.0,2017-04-12,2017
Mayfield,Emiza,round_882,Private Equity,4500000.0,2017-04-12,2017
Nishant Rao,Emiza,round_882,Private Equity,4500000.0,2017-04-12,2017
Dileep Nath,Emiza,round_882,Private Equity,4500000.0,2017-04-12,2017
DHI Group Inc,HackerEarth,round_883,Private Equity,4500000.0,2017-04-12,2017
