investor_a,investor_b,timesCoInvested
Digital Currency Group,Hinduja Group,1
Digital Currency Group,Lightspeed India,1
Digital Currency Group,Eight Innovate,1
Amit Ranjan,Digital Currency Group,1
Digital Currency Group,Prashant Malik and others,1
Hinduja Group,Lightspeed India,1
Eight Innovate,Hinduja Group,1
Amit Ranjan,Hinduja Group,1
Hinduja Group,Prashant Malik and others,1
Eight Innovate,Lightspeed India,1
Amit Ranjan,Lightspeed India,1
Lightspeed India,Prashant Malik and others,1
Amit Ranjan,Eight Innovate,1
Eight Innovate,Prashant Malik and others,1
Amit Ranjan,Prashant Malik and others,1
Fundamentum,SAIF Partners,1
Bessemer Venture Partners,Fundamentum,1
Fundamentum,RB investments & Others,1
Bessemer Venture Partners,SAIF Partners,5
RB investments & Others,SAIF Partners,1
Bessemer Venture Partners,RB investments & Others,1
SRI Capital,Waterbridge Ventures and ThinKuvate,1
BlueOrchard Finance Ltd,Hinduja Leyland Finance and IntelleGrow,1
Madhusudhan Kannan,Rajan Anandan,1
Jayant Kadambi,Rajan Anandan,1
Puneet Gupta and Pradeep K Jaisingh,Rajan Anandan,1
Jayant Kadambi,Madhusudhan Kannan,1
Madhusudhan Kannan,Puneet Gupta and Pradeep K Jaisingh,1
Jayant Kadambi,Puneet Gupta and Pradeep K Jaisingh,1
International Finance Corporation,Transamerica and others.,1
Line Corp,Line Ventures Corporation,1
Line Ventures Corporation,Naver,1
Line Ventures Corporation,Shinhan Bank and TS Investment,1
Line Corp,Naver,1
Line Corp,Shinhan Bank and TS Investment,1
Naver,Shinhan Bank and TS Investment,1
Biz Stone,Kunal Bahl,1
Biz Stone,Rohit Bansal,1
Alagu Periyannan and Karthee Madasamy,Biz Stone,1
Kunal Bahl,Rohit Bansal,13
Alagu Periyannan and Karthee Madasamy,Kunal Bahl,1
Alagu Periyannan and Karthee Madasamy,Rohit Bansal,1
Alok Mittal and Sachin Bhatia,GEMS Advisory,1
Neoplux,OPPO,1
IDG Ventures India,Neoplux,1
Kalaari Capital,Neoplux,1
GREE Ventures and Summit Media,Neoplux,1
IDG Ventures India,OPPO,1
Kalaari Capital,OPPO,1
GREE Ventures and Summit Media,OPPO,1
IDG Ventures India,Kalaari Capital,3
GREE Ventures and Summit Media,IDG Ventures India,1
GREE Ventures and Summit Media,Kalaari Capital,1
Nandan Nilekani,Omidyar Network,1
Blume Ventures,Omidyar Network,2
Helion Venture Partners,Omidyar Network,1
Blume Ventures,Nandan Nilekani,2
Helion Venture Partners,Nandan Nilekani,1
Blume Ventures,Helion Venture Partners,1
Maverick Capital Ltd and HBM Healthcare Investments Ltd,Sequoia Capital,1
Blacksoil and Kalaari Capital,Emery Capital,1
Bessemer Venture Partners and Orios Venture Partners,JM Financials and MEMG,1
SAIF Partners and Kalaari capital,Sequoia Capital,1
Baskar Subramanian,Saket Kumar,1
Baskar Subramanian,Gaurav Suri and Ankit Kesarwani,1
Gaurav Suri and Ankit Kesarwani,Saket Kumar,1
Apoorva Patni,Ranjan Pai,1
Beenext Ventures,Ranjan Pai,1
GrowX Ventures,Ranjan Pai,1
Apoorva Patni,Beenext Ventures,1
Apoorva Patni,GrowX Ventures,1
Beenext Ventures,GrowX Ventures,1
HDFC Asset Management,HDFC Life,1
Accel Partners and Saama Capital,Vertex Ventures,1
Actis,Altimeter Capital,1
"Sudhakar Pennam, and other tech investors from Silicon Valley",Venkat Subramanian,1
Bhavish Aggarwal,Matrix Partners,1
Ankit Bhati,Matrix Partners,1
Binny Bansal,Matrix Partners,1
Kunal Shah and Manish Patel.,Matrix Partners,1
Ankit Bhati,Bhavish Aggarwal,3
Bhavish Aggarwal,Binny Bansal,3
Bhavish Aggarwal,Kunal Shah and Manish Patel.,1
Ankit Bhati,Binny Bansal,2
Ankit Bhati,Kunal Shah and Manish Patel.,1
Binny Bansal,Kunal Shah and Manish Patel.,1
SoftBank,Tiger Global and Apoletto Managers.,1
1Crowd,Ankur Capital,1
Amit Burman,SIDBI Venture Capital,1
Axilor Ventures,Pi Ventures,1
Hiro Mashita,Jessica Wong,1
