investor_a,investor_b,timesCoInvested
Murugappa Group,Vellayan Subbiah,1
Arathi Krishna,Murugappa Group,1
Arun Venkatachalam,Murugappa Group,1
TVS Group,Vellayan Subbiah,1
Arathi Krishna,TVS Group,1
Arun Venkatachalam,TVS Group,1
Arathi Krishna,Vellayan Subbiah,1
Arun Venkatachalam,Vellayan Subbiah,1
Arathi Krishna,Arun Venkatachalam,1
Venture Nursery,YourNest Angel Fund,1
BrahmaX Ventures,Rishi Parti,1
Blume Ventures,Flipkart,1
Exfinity Venture Partners,Unitus Impact Livelihoods Fund,1
Ruchir Arora & others,Umang Kumar,1
Girish Reddy,Sharad Hegde,1
Sharad Hegde,Siddharth Patil,1
Sharad Hegde,Shrikant Patil,1
Girish Reddy,Siddharth Patil,1
Girish Reddy,Shrikant Patil,1
Shrikant Patil,Siddharth Patil,1
Sequoia Capital,Tree Line Asia,2
Innoven Capital,Sequoia Capital,1
Innoven Capital,Tree Line Asia,1
Amit Gupta,Sahil Barua,1
Amit Gupta,Mukul Singhal,1
Amit Gupta,Tracxn Labs,1
Mukul Singhal,Sahil Barua,1
Sahil Barua,Tracxn Labs,2
Mukul Singhal,Tracxn Labs,1
Segnel Venture,Shinji Kimura,1
Segnel Venture,Sundar Chanrai,1
JAFCO Asia,Segnel Venture,1
Segnel Venture,SingTel\\xe2\\x80\\x99s Innov8,1
Jungle Ventures,Segnel Venture,1
K Ganesh,Segnel Venture,1
Shinji Kimura,Sundar Chanrai,1
JAFCO Asia,Shinji Kimura,1
Shinji Kimura,SingTel\\xe2\\x80\\x99s Innov8,1
Jungle Ventures,Shinji Kimura,1
K Ganesh,Shinji Kimura,1
JAFCO Asia,Sundar Chanrai,1
SingTel\\xe2\\x80\\x99s Innov8,Sundar Chanrai,1
Jungle Ventures,Sundar Chanrai,1
K Ganesh,Sundar Chanrai,1
JAFCO Asia,SingTel\\xe2\\x80\\x99s Innov8,1
JAFCO Asia,Jungle Ventures,1
JAFCO Asia,K Ganesh,1
Jungle Ventures,SingTel\\xe2\\x80\\x99s Innov8,1
K Ganesh,SingTel\\xe2\\x80\\x99s Innov8,1
Jungle Ventures,K Ganesh,1
Anubhav Verma,Varun Ahuja,1
Constellation Technology Ventures (Exelon Corporation),E.ON,1
Constellation Technology Ventures (Exelon Corporation),RWE,1
Constellation Technology Ventures (Exelon Corporation),Khosla Ventures,1
E.ON,RWE,1
E.ON,Khosla Ventures,1
Khosla Ventures,RWE,1
Aneesh Reddy,Phanindra Sama,1
Neeraj Jawalkar,Phanindra Sama,1
Phanindra Sama,Sanjay Anandaram,1
Pavan Ongole,Phanindra Sama,1
Phanindra Sama,Venk Krishnan,1
Aneesh Reddy,Aprameya Radhakrishna,1
Aprameya Radhakrishna,Neeraj Jawalkar,1
Aprameya Radhakrishna,Sanjay Anandaram,1
Aneesh Reddy,Neeraj Jawalkar,1
Aneesh Reddy,Sanjay Anandaram,1
Aneesh Reddy,Pavan Ongole,1
Aneesh Reddy,Venk Krishnan,1
Neeraj Jawalkar,Sanjay Anandaram,1
Neeraj Jawalkar,Pavan Ongole,1
Neeraj Jawalkar,Venk Krishnan,1
Pavan Ongole,Sanjay Anandaram,1
Sanjay Anandaram,Venk Krishnan,1
Pavan Ongole,Venk Krishnan,1
500 Startups,IDG Ventures India,1
500 Startups,Kalaari Capital,1
Hyderabad Angels,M&S Partners,1
Hyderabad Angels,Singapore Angel Network,1
Hyderabad Angels,Ness Wadia,1
Ness Wadia,Singapore Angel Network,1
Mike Galgon,Rajan Anandan,2
Rajan Anandan,Ravi Gururaj,2
Ashim Mehra,Rajan Anandan,2
Rajan Anandan,\\xc2\\xa0 Mohit Saxena,1
Internet Group,Rajan Anandan,1
Rajan Anandan,TNN Capital and others,1
Mike Galgon,Ravi Gururaj,2
Ashim Mehra,Mike Galgon,2
Mike Galgon,\\xc2\\xa0 Mohit Saxena,1
Internet Group,Mike Galgon,1
Mike Galgon,TNN Capital and others,1
Ashim Mehra,Ravi Gururaj,2
Ravi Gururaj,\\xc2\\xa0 Mohit Saxena,1
Internet Group,Ravi Gururaj,1
Ravi Gururaj,TNN Capital and others,1
Ashim Mehra,\\xc2\\xa0 Mohit Saxena,1
Ashim Mehra,Internet Group,1
Ashim Mehra,TNN Capital and others,1
Internet Group,\\xc2\\xa0 Mohit Saxena,1
TNN Capital and others,\\xc2\\xa0 Mohit Saxena,1
Internet Group,TNN Capital and others,1
BEENEXT Ventures,Sequoia India,1
Kunal Shah & Sandeep Tandon,Sequoia India,1
BEENEXT Ventures,Kunal Shah & Sandeep Tandon,1
Jozef Bardik,Leo Wang Sangeeth Ram,1
Haresh Chawla,SAIF Partners,1
Lensbridge Capital,Mape Advisory Group,1
Fireside Ventures,Lensbridge Capital,1
Fireside Ventures,Mape Advisory Group,1
Centre For Incubation & Business Acceleration (CIBA),Goa,1
Ankit Nagori,Sujeet Kumar,1
Sujeet Kumar,Traxcn Labs,1
Ankit Nagori,Traxcn Labs,1
50K Ventures & others,Astarc Ventures,1
Lightspeed Venture Partners,Sequoia India,1
Nexus Venture Partners,Sequoia India,1
Global Founders Capital,Sequoia India,1
Apoletto,Sequoia India,1
Lightspeed Venture Partners,Nexus Venture Partners,1
Global Founders Capital,Lightspeed Venture Partners,1
Apoletto,Lightspeed Venture Partners,1
Global Founders Capital,Nexus Venture Partners,1
Apoletto,Nexus Venture Partners,1
Apoletto,Global Founders Capital,1
Anuj Srivastava,Rimpal Chawla,1
Baillie Gifford,Falcon Edge Capital,1
Baillie Gifford,Tiger Global,1
Baillie Gifford,SoftBank Group,1
Baillie Gifford,DST Global,1
Baillie Gifford,Didi Kuaidi,1
Falcon Edge Capital,Tiger Global,2
Falcon Edge Capital,SoftBank Group,1
DST Global,Falcon Edge Capital,1
Didi Kuaidi,Falcon Edge Capital,1
DST Global,Tiger Global,2
Didi Kuaidi,Tiger Global,1
DST Global,SoftBank Group,1
Didi Kuaidi,SoftBank Group,1
DST Global,Didi Kuaidi,1
Inara Capital,Rishi Khiani,1
Blackstone Valley Group,Raghu Vohra,1
Aditya Dev Sood,Blackstone Valley Group,1
Blackstone Valley Group,Kamal Bansal,1
Aditya Dev Sood,Raghu Vohra,1
Kamal Bansal,Raghu Vohra,1
Aditya Dev Sood,Kamal Bansal,1
Accel,Bessemer Venture Partner,1
Bessemer Venture Partner,SAIF Partners,1
Accel,SAIF Partners,1
Kris Gopalakrishnan,S.D. Shibulal,1
S.D. Shibulal,Srinath Batni,1
Professor Tarun Khanna,S.D. Shibulal,1
S.D. Shibulal,\\xc2\\xa0 Ganapathy Venugopal.,1
Kris Gopalakrishnan,Srinath Batni,1
Kris Gopalakrishnan,Professor Tarun Khanna,1
Kris Gopalakrishnan,\\xc2\\xa0 Ganapathy Venugopal.,1
Professor Tarun Khanna,Srinath Batni,1
Srinath Batni,\\xc2\\xa0 Ganapathy Venugopal.,1
Professor Tarun Khanna,\\xc2\\xa0 Ganapathy Venugopal.,1
Kae Capital,Kunal Bahl,1
Kae Capital,Rohit Bansal,1
Pradeep K Jaisingh,Ram Kumar Kakani,1
Ram Kumar Kakani,Sunil T V,1
Ram Kumar Kakani,Vijay Ghadge,1
Hemant Kaul,Ram Kumar Kakani,1
Gurmeet Chahal & Others,Ram Kumar Kakani,1
Pradeep K Jaisingh,Sunil T V,1
Pradeep K Jaisingh,Vijay Ghadge,1
Hemant Kaul,Pradeep K Jaisingh,1
Gurmeet Chahal & Others,Pradeep K Jaisingh,1
Sunil T V,Vijay Ghadge,1
Hemant Kaul,Sunil T V,1
Gurmeet Chahal & Others,Sunil T V,1
Hemant Kaul,Vijay Ghadge,1
Gurmeet Chahal & Others,Vijay Ghadge,1
Gurmeet Chahal & Others,Hemant Kaul,1
Daljit Singh,Dr. Pramath Raj Sinha,1
BVR Mohan Reddy,Daljit Singh,1
BVR Mohan Reddy,Dr. Pramath Raj Sinha,1
Bijou Kurien,Unitus Seed Fund,1
Narayan Ramachandran,Unitus Seed Fund,1
Bijou Kurien,Narayan Ramachandran,1
IDG Ventures India,\\xc2\\xa0 Accel Partners India,1
Mitsui & Co.,New Enterprise Associates,1
Canaan Partners,Mitsui & Co.,1
Mitsui & Co.,Silicon Valley Bank,1
Canaan Partners,New Enterprise Associates,1
New Enterprise Associates,Silicon Valley Bank,1
Canaan Partners,Silicon Valley Bank,1
Raghu Khanna,Sameer Gupta,1
Cheetah Mobile,New Enterprise Associates,1
Softbank,Tiger Global,2
Apoletto Managers,Softbank,1
Sequoia Capital,Tiger Global,2
Apoletto Managers,Tiger Global,1
Apoletto Managers,Sequoia Capital,1
IDG Ventures,M & S partners,1
IDG Ventures,Powerhouse Ventures (USA).,1
M & S partners,Powerhouse Ventures (USA).,1
Ashish Goenka & Others,Tracxn,1
Anil Chopra,Bessemer Venture Partners,1
Jairaj Singh,Mandeep Singh,1
Alok Mittal,Manish Kheterpal,1
Manish Kheterpal,\\xc2\\xa0 Puneet Dalmia,1
Alok Mittal,\\xc2\\xa0 Puneet Dalmia,1
Delhivery,Flipkart,1
Flipkart,Foxconn,1
Accel Partners,Delhivery,1
Accel Partners,Foxconn,1
Delhivery,Foxconn,1
Accel Partners,Elevar Equity,1
Accel Partners,Pramod Bhasin,1
Accel Partners,Rajan Anandan,1
Accel Partners,Gaurav Dalmia,1
Abhishek Goyal,Accel Partners,1
Accel Partners,Gagan Hasteer,1
Accel Partners,Arun Tadanki,1
Elevar Equity,Pramod Bhasin,1
Elevar Equity,Rajan Anandan,1
Elevar Equity,Gaurav Dalmia,1
Abhishek Goyal,Elevar Equity,1
Elevar Equity,Gagan Hasteer,1
Arun Tadanki,Elevar Equity,1
Gaurav Dalmia,Pramod Bhasin,1
Abhishek Goyal,Pramod Bhasin,1
Gagan Hasteer,Pramod Bhasin,1
Arun Tadanki,Pramod Bhasin,1
Gaurav Dalmia,Rajan Anandan,1
Abhishek Goyal,Rajan Anandan,1
Gagan Hasteer,Rajan Anandan,1
Arun Tadanki,Rajan Anandan,1
Abhishek Goyal,Gaurav Dalmia,1
Gagan Hasteer,Gaurav Dalmia,1
Arun Tadanki,Gaurav Dalmia,1
Abhishek Goyal,Gagan Hasteer,1
Abhishek Goyal,Arun Tadanki,1
Arun Tadanki,Gagan Hasteer,1
Abhinav Patodia,Ashish Todi,1
Ashish Todi,Kumar Shwetabh,1
Abhinav Patodia,Kumar Shwetabh,1
Atul Nishar,Harsh Mariwala,1
Dalip Pathak,Harsh Mariwala,1
Harsh Mariwala,Michael Carlos,1
Atul Nishar,Dalip Pathak,1
Atul Nishar,Michael Carlos,1
Dalip Pathak,Michael Carlos,1
DSG consumer Partners,Paragon Partners,1
ASP Consulting,Uniqorn ventures,1
Keshav Sanghi,Satyen Kothari,1
Riddhesh Gandhi & Others,Satyen Kothari,1
Keshav Sanghi,Riddhesh Gandhi & Others,1
Ashvin Chadha,Avtar Monga,1
Ashvin Chadha,Udaan Angels,1
Ashvin Chadha,Dheeraj Jain,1
Avtar Monga,Udaan Angels,1
Avtar Monga,Dheeraj Jain,1
Dheeraj Jain,Udaan Angels,1
Mato Peric,Peter Kabel & others,1
Sanjeev Kapoor,\\xc2\\xa0 Ravi Saxena & Others,1
Life.SREDA,Qualgro,1
Vikas Agarwal,Vishal Khare,1
Sanjeev Kakkar,Vikas Agarwal,1
Smile Group,Vikas Agarwal,1
Sanjeev Kakkar,Vishal Khare,1
Smile Group,Vishal Khare,1
Sanjeev Kakkar,Smile Group,1
Amit Ranjan,Kemark Ventures,1
Kemark Ventures,Zishaan Hayath and Others,1
Amit Ranjan,Zishaan Hayath and Others,1
Bedrock Ventures,Seedfund,1
500 Startups,IDG Ventures & Advantedge fund,1
500 Startups,Neeraj Arora,1
500 Startups,Leon Seynave,1
IDG Ventures & Advantedge fund,Neeraj Arora,1
IDG Ventures & Advantedge fund,Leon Seynave,1
Leon Seynave,Neeraj Arora,1
Biz Stone,Khosla Impact,1
Catamaran Ventures,Khosla Impact,1
Global Founders Capital,Khosla Impact,1
European investment fund,Khosla Impact,1
Biz Stone,Catamaran Ventures,1
Biz Stone,Global Founders Capital,1
Biz Stone,European investment fund,1
Catamaran Ventures,Global Founders Capital,1
Catamaran Ventures,European investment fund,1
European investment fund,Global Founders Capital,1
Dewang Neralla,Roopak Taneja,1
Dewang Neralla,Manisha Gupta,1
Manisha Gupta,Roopak Taneja,1
Fireside Ventures,Mumbai Angels MAPE Advisory Group.,1
Devesh Rai G,Rajesh Aggarwal,1
Amitpal Bhutani,Devesh Rai G,1
Amitpal Bhutani,Rajesh Aggarwal,1
Accel Partners,Anupam Mittal & other marquee investors,1
"Ascent Capital, eContext Asia",Sequoia Capital,1
Beenos Asia,Sequoia Capital,1
"Ascent Capital, eContext Asia",Beenos Asia,1
Dr. Aniruddha Malpani Manish Gupta,M&S Partners & others,1
Delhivery,Sands Capital and Accel Partners,1
Norwest Venture Partners,Qualcomm Venture,1
Cota Capital,Sierra Ventures,1
Sierra Ventures,Vegas Tech Fund,1
Cota Capital,Vegas Tech Fund,1
Arihant Patni,RAAY Global Investments,1
Alok Bajpai,Rajnish Kumar,1
Alok Bajpai,Amit Dey,1
Amit Dey,Rajnish Kumar,1
Atul Jalan,Shrikanth & Bharath,1
Mohan Alexander,R Natarajan,1
Mayank Bhangdia,Mumbai Angels,1
Kae Capital,Mayank Bhangdia,1
OrbiMed,Pradip Dadha Group,1
Matrix Partners,Tiger Global Management,1
Nexus Venture Partners,Sequoia Capital,3
Redcliffe Capital,YourNest Angel Fund,1
500 Startups & Other HNIs,ah! Ventures,1
Accel Partner,Jungle Ventures,1
Amit Singhal,PK Gulati & others,1
Dheeraj Mehta & Others,Rajesh Bhatia,1
Matrix Partners,Sequoia Capital,4
Khazanah Nasional Berhad,Zodius Technology Fund,1
Sequoia Capital,Warburg Pincus,1
Norwest Venture Partners,Warburg Pincus,1
Norwest Venture Partners,Sequoia Capital,1
Omidyar Network,WestBridge Capital,1
Elevar Equity,WestBridge Capital,1
Saama Capital,WestBridge Capital,1
WestBridge Capital,\\xc2\\xa0 Lok Capital,1
Elevar Equity,Omidyar Network,1
Omidyar Network,Saama Capital,1
Omidyar Network,\\xc2\\xa0 Lok Capital,1
Elevar Equity,Saama Capital,1
Elevar Equity,\\xc2\\xa0 Lok Capital,1
Saama Capital,\\xc2\\xa0 Lok Capital,1
Raghav Bahl,Ritu Kapur,1
Nalin Jain,Shomil Pant,1
Dinesh Kundu & others,Nalin Jain,1
Dinesh Kundu & others,Shomil Pant,1
Temasek,Vy Capital,1
500 Startups,TV Mohandas Pai,1
500 Startups,Tandem Capital,1
500 Startups,Vikram Chachra,1
500 Startups,Aloke Bajpai,1
TV Mohandas Pai,Tandem Capital,1
TV Mohandas Pai,Vikram Chachra,1
Aloke Bajpai,TV Mohandas Pai,1
Tandem Capital,Vikram Chachra,1
Aloke Bajpai,Tandem Capital,1
Aloke Bajpai,Vikram Chachra,1
Beenextan investment fund,Kalaari Capital,1
Beenextan investment fund,SAIF Partners,1
InMobi,Nanadan Nilekani,1
Nanadan Nilekani,Paytm,1
InMobi,Paytm,1
Ankush Nijhawan,Manish Dhingra,2
Ankush Nijhawan,Gaurav Bhatnagar,2
Gaurav Bhatnagar,Manish Dhingra,3
Aarin Capital,Unitus Seed Fund,1
Falcon Edge Capital,NY based Hedge Fund,1
Falcon Edge Capital,Softbank,1
NY based Hedge Fund,Tiger Global,1
NY based Hedge Fund,Softbank,1
Exfinity Ventures,Helion Venture Partners,1
Anil Matai,Vikram Tandon,1
Anil Matai,Shyam Sundar R & others,1
Shyam Sundar R & others,Vikram Tandon,1
Helion Venture Partners,Khazanah Nasional Berhad,1
Sachin Bansal & Binny Bansal,Sol Primero,1
Outbox Ventures,Sachin Bansal & Binny Bansal,1
Sachin Bansal & Binny Bansal,Sangram Singh,1
Outbox Ventures,Sol Primero,2
Sangram Singh,Sol Primero,1
Outbox Ventures,Sangram Singh,1
Accel Partners,Subrata Mitra,1
Accel Partners,Larry Braitman,1
Accel Partners,Venk Krishna,1
Larry Braitman,Subrata Mitra,1
Subrata Mitra,Venk Krishna,1
Larry Braitman,Venk Krishna,1
Aprameya Radhakrishna,Naman Sarawagi,1
Afsal Salu,Aprameya Radhakrishna,1
Afsal Salu,Naman Sarawagi,1
Accel Partners,Ventureast,1
International Finance Corporation (IFC),Qualcomm Ventures,1
International Finance Corporation (IFC),Ventureast,1
Qualcomm Ventures,Ventureast,1
Anand Mahindra,Uday Punj,1
Anand Mahindra,Ashish Hemrajani,1
Anand Mahindra,Sanjeev Mehra,1
Ashish Hemrajani,Uday Punj,1
Sanjeev Mehra,Uday Punj,1
Ashish Hemrajani,Sanjeev Mehra,1
Rianta Capital,Unitus Seed Fund,1
R Ramaraj,Unitus Seed Fund,1
Sunil Edwards,Unitus Seed Fund,1
R Ramaraj,Rianta Capital,1
Rianta Capital,Sunil Edwards,1
R Ramaraj,Sunil Edwards,1
Kalaari Capital,YourNest Angel Fund,1
Amanpreet Bajaj,Karan Bajwa,2
Karan Bajwa,Manish Vij,1
Amanpreet Bajaj,Manish Vij,1
Sharad Sharma,Vijay Anand,1
Mohandas Pai. Pallav Nadhani,Sharad Sharma,1
Sharad Sharma,Singapore Angels Network & others,1
Mohandas Pai. Pallav Nadhani,Vijay Anand,1
Singapore Angels Network & others,Vijay Anand,1
Mohandas Pai. Pallav Nadhani,Singapore Angels Network & others,1
Neeraj Aggarwal,William Bissell,1
Nandan Nilekani,William Bissell,1
Nandan Nilekani,Neeraj Aggarwal,1
Anupam Mittal,Phanindra Sama,1
Phanindra Sama,Vijay Shekhar Sharma,1
Phanindra Sama,Vishal Gondal,1
Phanindra Sama,Sateesh Andara & others,1
Anupam Mittal,Vijay Shekhar Sharma,1
Anupam Mittal,Vishal Gondal,1
Anupam Mittal,Sateesh Andara & others,1
Sateesh Andara & others,Vijay Shekhar Sharma,1
Sateesh Andara & others,Vishal Gondal,1
500 Startups,Smile Multimedia,1
500 Startups,Kunal Bahl,1
500 Startups,Rohit Bansal,1
500 Startups,Girish Matrubootham,1
Kunal Bahl,Smile Multimedia,1
Rohit Bansal,Smile Multimedia,1
Girish Matrubootham,Smile Multimedia,1
Girish Matrubootham,Kunal Bahl,1
Girish Matrubootham,Rohit Bansal,1
Infuse Ventures,The Chennai Angels,1
Kanwaljit Singh,TV Mohandas Pai,1
500 Startups,Mato Peric & Others,1
Alibaba Group,Ant Financial,1
SAIF Partners.,Sequoia India,1
Rahul Khanna & Others,Zishaan Hayath,1
Knoll Ventures and others,Nexus Venture Partners,1
Kunal Bahl,Pranay Chulet,1
Kunal Bahl,Naveen Tiwari,1
Amit Gupta,Kunal Bahl,1
Pranay Chulet,Rohit Bansal,1
Naveen Tiwari,Rohit Bansal,1
Amit Gupta,Rohit Bansal,1
Naveen Tiwari,Pranay Chulet,1
Amit Gupta,Pranay Chulet,1
Mayank Singhal,Pranay Chulet,1
Amit Gupta,Naveen Tiwari,2
Mayank Singhal,Naveen Tiwari,1
Amit Gupta,Mayank Singhal,1
Viktor Koenig PE Fund,ah! Ventures,1
Mantra Ventures,ah! Ventures,1
Mantra Ventures,Viktor Koenig PE Fund,1
Alibaba,Foxconn,1
Alibaba,Softbank,1
Foxconn,Softbank,1
Alok Mittal,Zeeshan Hayat,1
Alok Mittal,Niraj Singh,1
Alok Mittal,Nikunj Jain,1
Alok Mittal,Anirudh Damani,1
Alok Mittal,Punit Goyal,1
Niraj Singh,Zeeshan Hayat,1
Nikunj Jain,Zeeshan Hayat,1
Anirudh Damani,Zeeshan Hayat,1
Punit Goyal,Zeeshan Hayat,1
Nikunj Jain,Niraj Singh,1
Anirudh Damani,Niraj Singh,1
Niraj Singh,Punit Goyal,1
Anirudh Damani,Nikunj Jain,1
Nikunj Jain,Punit Goyal,1
Anirudh Damani,Punit Goyal,1
Sequoia Capital,SoftBank Group,1
SoftBank Group,\\xc2\\xa0 Lightspeed India,1
Greenoaks Capital,\\xc2\\xa0 Lightspeed India,1
Sequoia Capital,\\xc2\\xa0 Lightspeed India,1
Orios Venture Partners,Zishaan Hayath,1
Chandru Badrinarayanan,Kunal Bajaj,1
Ankush Nijhawan,Rebright Partners,1
Gaurav Bhatnagar,Rebright Partners,1
Manish Dhingra,Rebright Partners,1
Orios Venture Partners,Tiger Global Management,1
Helion Venture Partners,Kalaari Capital,1
BedRock Ventures,Rajesh Sawhney,1
BedRock Ventures,Shailesh Singh,1
Rajesh Sawhney,Shailesh Singh,1
Rajesh Sawhney,Sachin Bhatia,1
Ramesh Jogani,Shailesh Viswanathan,1
Jay Srinivasan,Ramesh Jogani,1
Jay Srinivasan,Shailesh Viswanathan,1
Gaurav Sharma,Ravi Gururaj,1
Ravi Gururaj,Viswanath Ramachandran,1
Ravi Gururaj,RippleWave,1
Gaurav Sharma,Viswanath Ramachandran,1
Gaurav Sharma,RippleWave,1
RippleWave,Viswanath Ramachandran,1
Google Capital,Sofina,1
Altimeter Capital,Sofina,1
Sequoia Capital Global Equities,Sofina,1
Sofina,Yuri Milner,1
Matrix Partners,Sofina,1
Altimeter Capital,Google Capital,1
Google Capital,Sequoia Capital Global Equities,1
Google Capital,Yuri Milner,1
Google Capital,Sequoia Capital,1
Google Capital,Matrix Partners,1
Altimeter Capital,Sequoia Capital Global Equities,1
Altimeter Capital,Yuri Milner,1
Altimeter Capital,Sequoia Capital,1
Altimeter Capital,Matrix Partners,1
Sequoia Capital Global Equities,Yuri Milner,1
Sequoia Capital,Sequoia Capital Global Equities,1
Matrix Partners,Sequoia Capital Global Equities,1
Sequoia Capital,Yuri Milner,1
Matrix Partners,Yuri Milner,1
Ravi Jaipuria & others,Sanjay Sethi,1
CCube Angels,Frontline Strategy,1
"Calcutta Angels, ah! Ventures",Chennai Angels,1
Chennai Angels,Intellecap Impact Investment Network,1
Chennai Angels,Indus Age Partners,1
Chennai Angels,Singapore Angel Network,1
Chennai Angels,India Internet Fund,1
"Calcutta Angels, ah! Ventures",Intellecap Impact Investment Network,1
"Calcutta Angels, ah! Ventures",Indus Age Partners,1
"Calcutta Angels, ah! Ventures",Singapore Angel Network,1
"Calcutta Angels, ah! Ventures",India Internet Fund,1
"Calcutta Angels, ah! Ventures",LetsVenture,1
Indus Age Partners,Intellecap Impact Investment Network,1
Intellecap Impact Investment Network,Singapore Angel Network,1
India Internet Fund,Intellecap Impact Investment Network,1
Intellecap Impact Investment Network,LetsVenture,1
Indus Age Partners,Singapore Angel Network,1
India Internet Fund,Indus Age Partners,1
Indus Age Partners,LetsVenture,1
India Internet Fund,Singapore Angel Network,1
LetsVenture,Singapore Angel Network,1
India Internet Fund,LetsVenture,1
Capricorn Investment Group,Horizons Ventures,1
Horizons Ventures,Social+Capital,1
Helion Advisors,Horizons Ventures,1
Berggruen Holdings,Horizons Ventures,1
Capricorn Investment Group,Social+Capital,1
Capricorn Investment Group,Helion Advisors,1
Berggruen Holdings,Capricorn Investment Group,1
Helion Advisors,Social+Capital,1
Berggruen Holdings,Social+Capital,1
Berggruen Holdings,Helion Advisors,1
Inflexionpoint,Pramod Bhasin,1
Inflexionpoint,Sixth Sense Ventures,1
Inflexionpoint,Vindi Banga,1
Hiro Mashita,Inflexionpoint,1
Pramod Bhasin,Sixth Sense Ventures,1
Pramod Bhasin,Vindi Banga,1
Hiro Mashita,Pramod Bhasin,1
Sixth Sense Ventures,Vindi Banga,1
Hiro Mashita,Sixth Sense Ventures,1
Hiro Mashita,Vindi Banga,1
Ashneer Grover,Wealth First,1
Atul Phadnis,Wealth First,1
Ashneer Grover,Atul Phadnis,1
Infuse Ventures,responsAbility Investments,1
Gaurav Vats,Neha Vats,1
B M Gupta,Vinod Singhal,1
Girish Mathrubootham,Phanindra Sama,1
Girish Mathrubootham,Vikram Chachra,1
Girish Mathrubootham,Others from LetsVenture,1
Phanindra Sama,Vikram Chachra,1
Others from LetsVenture,Phanindra Sama,1
Others from LetsVenture,Vikram Chachra,1
Helion Ventures,Jungle Ventures & Bessemer Venture Partners,1
500 Startups,Quintillion Media,1
Accel Partners,Deep Kalra,1
Accel Partners,Rajesh Magow,1
Accel Partners,Mohit Gupta,1
Accel Partners,Shamik Sharma,1
Deep Kalra,Rajesh Magow,1
Deep Kalra,Mohit Gupta,1
Deep Kalra,Shamik Sharma,1
Mohit Gupta,Rajesh Magow,1
Rajesh Magow,Shamik Sharma,1
Mohit Gupta,Shamik Sharma,1
Amit Ranjan,Vijay Shekhar Sharma,1
Amit Ranjan,Kunal Bahl,1
Amit Ranjan,Girish Mathrubootham &\\xc2\\xa0 Group of other Angel investors,1
Kunal Bahl,Vijay Shekhar Sharma,1
Girish Mathrubootham &\\xc2\\xa0 Group of other Angel investors,Vijay Shekhar Sharma,1
Girish Mathrubootham &\\xc2\\xa0 Group of other Angel investors,Kunal Bahl,1
Accion,LeapFrog Investments,1
Accion,Lok Capital,1
LeapFrog Investments,Lok Capital,1
Gujarat based angel investors,MMY co-Founder,1
Ratan Tata,Vani Kola,1
Ratan Tata,T V Mohandas Pai,1
Karthee Madasamay,Ratan Tata,1
T V Mohandas Pai,Vani Kola,1
Karthee Madasamay,Vani Kola,1
Karthee Madasamay,T V Mohandas Pai,1
Kunal Bahl,Prashant Malik,1
Prashant Malik,Rohit Bansal,1
Prashant Malik,Zishaan Hayath,1
New Enterprise Associates,Orios Venture Partners,1
Milliways Ventures,NEA,1
NEA,Naya Ventures,1
Milliways Ventures,Naya Ventures,1
Rohit Bhatia,Sunil Nikhar,1
Rohit Bhatia,Vaibhav Domkundwar,1
Rohit Bhatia,Siddharth Nautiyal,1
Sunil Nikhar,Vaibhav Domkundwar,1
Siddharth Nautiyal,Sunil Nikhar,1
Siddharth Nautiyal,Vaibhav Domkundwar,1
Blume Ventures & others,NEA,1
Ankush Nijhawa,Manish Dhingra,1
Ankush Nijhawa,Gaurav Bhatnagar,1
Times Internet,ah! Ventures,1
Rudy Gopalakrishnan,ah! Ventures,1
Rudy Gopalakrishnan,Times Internet,1
Amit Ranjan & others,Orios Venture Partners,1
Anupam Mittal & others,India Quotient,1
GrowX ventures,Tracxn Labs,1
GrowX ventures,"Powai Lake Ventures, and Sahil Barua",1
"Powai Lake Ventures, and Sahil Barua",Tracxn Labs,1
Nexus Venture Partners,Norwest Venture Partners,1
Helion Venture Partners,Norwest Venture Partners,1
Draper Fisher Jurvetson,Norwest Venture Partners,1
Norwest Venture Partners,Peepul Capital,1
Helion Venture Partners,Nexus Venture Partners,1
Draper Fisher Jurvetson,Nexus Venture Partners,1
Nexus Venture Partners,Peepul Capital,1
Draper Fisher Jurvetson,Helion Venture Partners,1
Helion Venture Partners,Peepul Capital,1
Draper Fisher Jurvetson,Peepul Capital,1
India Quotient,LetsVenture investors,1
India Quotient,Lead Angels,1
Lead Angels,LetsVenture investors,1
Growx Ventures,Manish Singhal,1
Li Jian,Li Tao,1
Draphant Consultants,Li Tao,1
Li Tao,Nitin Garg,1
Li Tao,Saurabh Jain,1
Li Tao,Mohit Agarwal,1
Draphant Consultants,Li Jian,1
Li Jian,Nitin Garg,1
Li Jian,Saurabh Jain,1
Li Jian,Mohit Agarwal,1
Draphant Consultants,Nitin Garg,1
Draphant Consultants,Saurabh Jain,1
Draphant Consultants,Mohit Agarwal,1
Nitin Garg,Saurabh Jain,1
Mohit Agarwal,Nitin Garg,1
Mohit Agarwal,Saurabh Jain,1
Manish Singhal,P39 Capital & Others,1
Aspada Investment Advisors,Qualcomm Ventures,1
Nikhil Vora & others,Ratan Tata,1
Delhivery,Tracxn Labs,1
IDG Ventures India,The Chennai Angels,1
Bessemer Ventures,Kae Capital,1
Vivek Joshi,ah! Ventures,1
Mohit Satyanand & others,ah! Ventures,1
Mohit Satyanand & others,Vivek Joshi,1
Axon Partners,IFC,1
