name,totalInvested,dealCount
Arjun and Rohan Malhotra,250000.0,1
Arkas Industries,500000.0,1
Armat Group,0.0,0
Artha India Ventures,776000.0,1
Artha Venture,500000.0,1
Arthavida Ventures,1100000.0,1
Artiman Ventures,27000000.0,3
Arts Alliance,400000.0,1
Arun Chandra Mohan,2000000.0,1
Arun Duggal,0.0,0
Arun Garg,570000.0,1
Arun Khanna,0.0,0
Arun Malhotra,620000.0,1
Arun Patodia,0.0,0
Arun Sarin,25000000.0,1
Arun Seth,0.0,0
Arun Tadanki,245000.0,1
Arun Venkatachalam,0.0,0
Aruna Ganesh Ram,0.0,0
Arvind Jha,0.0,0
Arvind Uppal,0.0,0
Ascent Capital,312000000.0,2
"Ascent Capital, eContext Asia",25000000.0,1
Aseem Sood,0.0,0
Ash Bhardwaj,0.0,0
Asha Jadeja Motwani & Others,300000.0,1
Ashim Mehra,500000.0,1
Ashish Agrawal,1000000.0,1
Ashish Chand,375000.0,1
Ashish Dev Kapur,0.0,0
Ashish Dhawan,18000000.0,2
Ashish Goenka,6250000.0,1
Ashish Goenka & Others,0.0,0
Ashish Gupta,375000.0,1
Ashish Gupta and other undisclosed investors,0.0,0
Ashish Hemrajani,5800000.0,1
Ashish Jhalani,100000.0,1
Ashish Kacholi,2000000.0,1
Ashish Kashyap,500000.0,1
Ashish Lakhanpal,750000.0,1
Ashish Mahajan,0.0,0
Ashish Tiwari,0.0,0
Ashish Todi,350000.0,1
Ashish Toshniwal,0.0,0
Ashish Tulsian,1000000.0,1
Ashneer Grover,500000.0,1
Ashok Agarwal,1500000.0,1
Ashok Goel (promoter),16500000.0,1
Ashok Kumar Gajera,311200.0,1
Ashutosh Lawania,104000.0,1
Ashvin Chadha,12700000.0,4
Asia Pacific Internet Group,4500000.0,1
Asian Healthcare fund,8200000.0,1
AskMe,20000000.0,1
Aspada,29000000.0,2
Aspada Advisors,5000000.0,1
Aspada Investment,47000000.0,1
Aspada Investment Advisors,4650000.0,2
Aspada Investments,2700000.0,1
Aspada Ventures,25000000.0,1
Aspire Logistics LLC,125000.0,1
Aspire Systems,0.0,0
Asset Management (Asia) Ltd,20000000.0,1
Astarc Ventures,1180000.0,2
Astarc Ventures & Others,0.0,0
Asuka,0.0,0
Asuka Holdings,0.0,0
Atul Agarwal,500000.0,1
"Atul Goel, and Gurpreet Singh",3100000.0,1
Atul Gupta and Saurabh Rastogi,293000.0,1
Atul Ingle,0.0,0
Atul Jain,0.0,0
Atul Jalan,640000.0,1
Atul Nishar,10700000.0,2
Atul Phadnis,500000.0,1
Atulya Mittal,0.0,0
Augment Ventures,448000.0,1
August Capital Partners,0.0,0
Auxano Deals,772500.0,1
Avalon Ventures,15000000.0,1
Avendus Finance,8600000.0,1
Avendus Finance Pvt. Ltd,9700000.0,1
Avnish Mehra,0.0,0
Avtar Monga,500000.0,1
"Avtar Monga, chief operating office at IDFC Bank",437000.0,1
Axan Partners,10000000.0,1
Axan Venture,3000000.0,1
Axiata Digital,16000000.0,1
Axilor,0.0,0
Axilor Partners,5800000.0,1
Axilor Ventures,18900000.0,10
Axilor Ventures and Binny Bansal,19000000.0,1
