roundId,startupName,investmentType,amountUSD,date,year
round_290,Kriger Campus,Seed / Angel,46140.0,2018-04-09,2018
round_291,Loanzen,Seed / Angel,,2018-04-10,2018
round_292,TravelTriangle,Private Equity,12000000.0,2018-04-10,2018
round_293,Letsmd,Seed / Angel,1000000.0,2018-04-12,2018
round_294,AyeFinance,Debt,4600000.0,2018-04-12,2018
round_295,mintifi,Seed / Angel,2000000.0,2018-04-13,2018
round_296,icanstay,Seed / Angel,500000.0,2018-04-16,2018
round_297,Pregbuddy,Seed / Angel,,2018-04-16,2018
round_298,Coverfox,Private Equity,22000000.0,2018-04-18,2018
round_299,Lenskart,Private Equity,,2018-04-19,2018
round_300,mamaearth,Private Equity,,2018-04-19,2018
round_301,Fyle Technologies,Seed / Angel,1100000.0,2018-04-19,2018
round_302,True Balance,Private Equity,23000000.0,2018-04-19,2018
round_303,Visit,Private Equity,,2018-04-22,2018
round_304,Doxper,Seed / Angel,1900000.0,2018-04-22,2018
round_305,Nykaa,Private Equity,11000000.0,2018-04-22,2018
round_306,Mihuru,Seed / Angel,150000.0,2018-04-23,2018
round_307,Capital Float,Private Equity,22000000.0,2018-04-23,2018
round_308,Trip shelf,Seed / Angel,246000.0,2018-04-25,2018
round_309,POPxo,Private Equity,5500000.0,2018-04-26,2018
round_310,RailYatri,Private Equity,,2018-04-26,2018
round_311,1mg,Private Equity,10000000.0,2018-04-27,2018
round_312,Rubique,Private Equity,,2018-04-29,2018
round_313,Samco,Private Equity,7500000.0,2018-04-30,2018
round_314,MyLoanCare,Seed / Angel,978000.0,2018-04-30,2018
round_315,PharmEasy,Private Equity,,2018-03-01,2018
round_316,Buddy4studdy,Private Equity,3000000.0,2018-03-01,2018
round_317,Urban Ladder,Private Equity,12000000.0,2018-03-01,2018
round_318,Kuvera,Seed / Angel,250000.0,2018-03-03,2018
round_319,Gramophone,Seed / Angel,1000000.0,2018-03-04,2018
round_320,Wellthy,Private Equity,2100000.0,2018-03-05,2018
round_321,MedGenome,Private Equity,10000000.0,2018-03-05,2018
round_322,Finova Capital,Private Equity,6000000.0,2018-03-05,2018
round_323,Hotelogix,Private Equity,5000000.0,2018-03-05,2018
round_324,Livehealth,Seed / Angel,1100000.0,2018-03-04,2018
round_325,Ad2pro,Debt,9700000.0,2018-03-06,2018
round_326,Coverfox,Private Equity,7600000.0,2018-03-06,2018
round_327,Pepperfry,Private Equity,38400000.0,2018-03-08,2018
round_328,Magicpin,Debt,1000000.0,2018-03-08,2018
round_329,HealthCare,Seed / Angel,1000000.0,2018-03-12,2018
round_330,PineLabs,Private Equity,82000000.0,2018-03-13,2018
round_331,Stumagz,Seed / Angel,,2018-03-14,2018
round_332,AvailFinance,Private Equity,17200000.0,2018-03-14,2018
round_333,Grofers,Private Equity,62000000.0,2018-03-15,2018
round_334,Fingerlix,Debt,1310000.0,2018-03-19,2018
round_335,Karma Healthcare,Seed / Angel,500000.0,2018-03-19,2018
round_336,Zappfresh,Seed / Angel,3000000.0,2018-03-19,2018
round_337,CustomerSucessBox,Seed / Angel,1000000.0,2018-03-19,2018
round_338,One Labs,Private Equity,,2018-03-20,2018
round_339,GigIndia,Seed / Angel,,2018-03-21,2018
round_340,Chargebee,Private Equity,18000000.0,2018-03-22,2018
round_341,i2i Funding,Seed / Angel,768000.0,2018-03-22,2018
round_342,Slang Labs,Seed / Angel,1240000.0,2018-03-22,2018
round_343,UrbanPiper,Seed / Angel,,2018-03-22,2018
round_344,Cash Suvidha,Seed / Angel,1000000.0,2018-03-26,2018
round_345,Roadcast,Private Equity,250000.0,2018-03-28,2018
round_346,Smartcoin,Seed / Angel,2000000.0,2018-03-28,2018
round_347,The Print,Seed / Angel,535000.0,2018-03-27,2018
round_348,DriveU,Private Equity,3000000.0,2018-03-27,2018
round_349,Fynd,Seed / Angel,,2018-03-29,2018
round_350,BigBasket,Private Equity,300000000.0,2018-02-01,2018
round_351,Zomato,Private Equity,200000000.0,2018-02-01,2018
round_352,Pratilipi,Private Equity,4300000.0,2018-02-05,2018
round_353,Asia Institute Of Medical Science,Private Equity,21000000.0,2018-02-05,2018
round_354,CollegeDekho,Private Equity,2000000.0,2018-02-05,2018
