name,industry,subVertical,city,totalRaisedUSD,fundingRounds,firstFunded,lastFunded
Daily Rounds,,,,500000.0,1,2015-03-14,2015-03-14
Daily hunt,Consumer Internet & Tech,News and ebooks Mobile App,Bangalore,6390000.0,1,2018-09-03,2018-09-03
DailyHunt,Consumer Internet & Tech,Vernacular content mobile app,Bangalore,25000000.0,1,2016-10-15,2016-10-15
DailyNinja,Logistics & Transport,,Bangalore,0.0,1,2015-09-19,2015-09-19
DailyObjects,E-Commerce,Mobile Accessories etailer,Delhi,1400000.0,1,2016-01-19,2016-01-19
DailyRounds,Consumer Internet & Tech,Mobile App for Doctors,Bangalore,0.0,1,2016-09-22,2016-09-22
DarwinBox,Consumer Internet & Tech,Enterprise human resources management platform,Hyderabad,4000000.0,2,2016-07-01,2017-06-19
Data Resolve,Consumer Internet & Tech,Cyber Security Solutions,Noida,1000000.0,1,2017-03-07,2017-03-07
DataWeave,Consumer Internet & Tech,Business Intelligence Solutions,Bangalore,0.0,1,2017-04-05,2017-04-05
DawaiLelo,Consumer Internet & Tech,Healthcare Services & Online Pharmacy Mobile App,Varanasi,52000.0,1,2016-02-05,2016-02-05
DayBox,Consumer Internet & Tech,Fruit & Vegetable Delivery platform,Delhi,104000.0,1,2016-08-30,2016-08-30
Dazo,Food & Beverage,,Bangalore,0.0,1,2015-04-29,2015-04-29
Deal 4Loans,Consumer Internet & Tech,Loan Comparison Portal,Noida,0.0,1,2016-04-15,2016-04-15
Deal Street Asia,Media & Entertainment,,Singapore,0.0,1,2015-12-15,2015-12-15
Deal4Loans / Wishfin,Consumer Internet & Tech,\\nLoans Comparison platform\\n\\n\\n\\n (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Noida,15000000.0,1,2016-07-19,2016-07-19
Dealwithus,,,,16600.0,1,2015-02-02,2015-02-02
Dekkho,Consumer Internet & Tech,Video Streaming platform,Mumbai,1200000.0,1,2016-12-26,2016-12-26
Delhivery,Logistics & Transport,ECommerce Logistics provider,Delhi,215000000.0,3,2015-05-06,2017-05-22
Delight Foods,Food & Beverage,,Bangalore,600000.0,1,2015-11-11,2015-11-11
Demyto,Consumer Internet & Tech,Vehicle maintenance Services platform,Pune,0.0,1,2016-09-30,2016-09-30
Derbii,Logistics & Transport,Carpooling Services,Gurgaon,0.0,1,2016-05-12,2016-05-12
Design Cafe,Consumer Internet & Tech,Online Interior Design platform,Bangalore,0.0,1,2017-07-11,2017-07-11
DesignBids,Consumer Internet & Tech,Interior Design Marketplace,Delhi,0.0,1,2016-01-30,2016-01-30
Devourin,Consumer Internet & Tech,Restaurant Automation Solution,Pune,0.0,1,2017-05-08,2017-05-08
Deyor Camps,Consumer Internet & Tech,Branded Camping location Aggregator,Gurgaon,500000.0,1,2016-10-11,2016-10-11
Deyor Rooms,Travel & Hospitality,,Delhi,500000.0,1,2015-11-03,2015-11-03
Dhruva,Consumer Internet & Tech,Cloud data protection and management solutions,Pune,80000000.0,1,2017-08-23,2017-08-23
Dhruva Space,Fashion & Lifestyle,Satellite Communication,Bangalore,50000000.0,1,2019-12-03,2019-12-03
DiabetOmics,,,,5000000.0,1,2015-03-13,2015-03-13
Didi,Other,,Mumbai,150000.0,1,2015-11-09,2015-11-09
Digiconectt,Consumer Internet & Tech,Sales Analytics and Enablement Platform,Bangalore,125000.0,1,2018-06-04,2018-06-04
Digilend,Consumer Internet & Tech,Personal Loans & EMI solutions platform,Mumbai,312000.0,1,2017-08-14,2017-08-14
